name,revenue,revenue % change,profit,asset,profit % change,employees,country
Dell Technologies,90621.0,15.2,-2310.0,111820.0,,157000,U.S.
Banco Santander,90531.9,3.6,9217.1,1667946.8,23.5,194015,Spain
Rosneft Oil,90055.0,25.0,8745.8,189980.1,129.7,308000,Russia
China FAW Group,89804.7,29.2,2660.3,66682.9,-6.8,142451,China
Sinochem Group,89358.1,16.4,701.4,71332.7,-6.9,66713,China
Enel,89305.7,6.1,5651.8,189079.6,32.7,69272,Italy
Deutsche Telekom,89286.8,5.7,2556.2,166163.6,-34.5,215675,Germany
Crédit Agricole,88325.0,4.9,5192.7,1856682.3,26.2,73346,France
Assicurazioni Generali,88157.4,-12.3,2725.0,589590.3,14.6,70734,Italy
China Communications Construction,88140.9,11.0,1585.2,198943.7,2.6,178572,China
Hyundai Motor,87999.2,3.2,1370.8,161921.4,-61.6,122217,South Korea
Pemex,87403.3,18.4,-9377.9,105384.4,,131108,Mexico
Peugeot,87364.3,18.9,3336.3,70811.1,53.4,216539,France
Pacific Construction Group,86622.6,12.2,3390.9,58175.0,7.9,387525,China
SoftBank Group,86604.7,4.8,12727.9,326163.2,35.7,76866,Japan
HSBC Holdings,86131.0,8.2,13727.0,2558124.0,27.1,235217,Britain
DuPont,85977.0,37.2,3844.0,188030.0,163.3,98000,U.S.
